school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, address_line_2, postal_state, school_no,longitude, address_town, education_sector, full_phone_no,latitude, entity_type
Secondary,66,3083,Parade College,1436 Plenty Road,O,null,BUNDOORA,VIC,3083,Banyule (C),1436 Plenty Road,null,VIC,20,145.06699,BUNDOORA,Catholic,03 9468 3300,-37.69018,2
Secondary,460,3003,Simonds Catholic College,273 Victoria Street,O,null,WEST MELBOURNE,VIC,3003,Melbourne (C),273 Victoria Street,null,VIC,25,144.95288,WEST MELBOURNE,Catholic,03 9321 9200,-37.80597,2
Secondary,590,3183,Christian Brothers' College St Kilda,PO Box 258,O,null,ST KILDA,VIC,3182,Port Phillip (C),11 Westbury Street,null,VIC,26,144.997,ST KILDA EAST,Catholic,03 9529 6611,-37.85936,2
Primary,311,3015,Sacred Heart School,4 Newcastle Street,O,null,NEWPORT,VIC,3015,Hobsons Bay (C),4 Newcastle Street,null,VIC,77,144.8814,NEWPORT,Catholic,03 9391 6262,-37.84003,2
Primary,311,3016,St Mary's School,PO Box 283,O,null,WILLIAMSTOWN,VIC,3016,Hobsons Bay (C),118 Cecil Street,null,VIC,78,144.9009,WILLIAMSTOWN,Catholic,03 9397 7926,-37.8635,2
Pri/Sec,111,3101,Ruyton Girls' School,12 Selbourne Road,O,null,KEW,VIC,3101,Boroondara (C),12 Selbourne Road,null,VIC,83,145.03918,KEW,Independent,03 9819 2422,-37.81111,2
Pri/Sec,231,3183,Caulfield Grammar School,PO Box 610,O,null,ELSTERNWICK,VIC,3185,Glen Eira (C),217 Glen Eira Road,null,VIC,96,145.00488,ST KILDA EAST,Independent,03 9524 6300,-37.87738,2
Primary,460,3051,St Michael's School,8-14 Brougham Street,O,null,NORTH MELBOURNE,VIC,3051,Melbourne (C),8-14 Brougham Street,null,VIC,98,144.94624,MELBOURNE NORTH,Catholic,03 9329 9206,-37.7933,2
Secondary,635,3181,Presentation College Windsor,187 Dandenong Road,O,null,WINDSOR,VIC,3181,Stonnington (C),187 Dandenong Road,null,VIC,106,144.99472,WINDSOR,Catholic,03 8517 2777,-37.85764,2
Primary,590,3183,St Mary's School,214 Dandenong Road,O,null,ST KILDA EAST,VIC,3183,Port Phillip (C),214 Dandenong Road,null,VIC,107,144.99759,ST KILDA EAST,Catholic,03 9510 7420,-37.85902,2
Primary,506,3031,St Brendan's School,103 Wellington Street,O,null,FLEMINGTON,VIC,3031,Moonee Valley (C),103 Wellington Street,null,VIC,113,144.93173,FLEMINGTON,Catholic,03 9376 0249,-37.7847,2
Primary,111,3122,St Joseph's School,571 Glenferrie Road,O,null,HAWTHORN,VIC,3122,Boroondara (C),571 Glenferrie Road,null,VIC,148,145.03432,HAWTHORN,Catholic,03 9818 7570,-37.82646,2
Pri/Sec,635,3146,Sacre Coeur,172 Burke Road,O,null,GLEN IRIS,VIC,3146,Stonnington (C),172 Burke Road,null,VIC,149,145.05157,GLEN IRIS,Catholic,03 9835 2700,-37.86175,2
Primary,189,3070,St Joseph's School,39 James Street,O,null,NORTHCOTE,VIC,3070,Darebin (C),39 James Street,null,VIC,151,144.99672,NORTHCOTE,Catholic,03 9481 7166,-37.77462,2
Primary,189,3072,Sacred Heart School,1 Clifton Grove,O,null,PRESTON,VIC,3072,Darebin (C),1 Clifton Grove,null,VIC,152,145.00377,PRESTON,Catholic,03 9484 3514,-37.74481,2
Secondary,91,3186,Star of the Sea College,PO Box 7001 Gardenvale LPO,O,null,BRIGHTON,VIC,3186,Bayside (C),80 Martin Street,null,VIC,250,144.99678,BRIGHTON,Catholic,03 9596 6099,-37.89673,2
Primary,91,3186,St James' School,6 St James Close,O,null,BRIGHTON,VIC,3186,Bayside (C),6 St James Close,null,VIC,251,144.99767,BRIGHTON,Catholic,03 9596 4766,-37.89794,2
Primary,231,3165,St Peter's School,842 Centre Road,O,null,BENTLEIGH EAST,VIC,3165,Glen Eira (C),842 Centre Road,null,VIC,252,145.0709,BENTLEIGH EAST,Catholic,03 9579 5068,-37.92304,2
Pri/Sec,111,3101,Methodist Ladies' College,207 Barkers Road,O,null,KEW,VIC,3101,Boroondara (C),207 Barkers Road,null,VIC,259,145.03848,KEW,Independent,03 9274 6333,-37.81395,2
Primary,460,3141,Christ Church Grammar School,PO Box 392,O,null,SOUTH YARRA,VIC,3141,Melbourne (C),677 Punt Road,null,VIC,330,144.98573,SOUTH YARRA,Independent,03 9866 3540,-37.83895,2
Primary,525,3058,St Paul's School,562 Sydney Road,O,null,COBURG,VIC,3058,Moreland (C),562 Sydney Road,null,VIC,336,144.96785,COBURG,Catholic,03 9354 8970,-37.73893,2
Primary,726,3030,St Andrew's School,110 Greaves Street North,O,null,WERRIBEE,VIC,3030,Wyndham (C),110 Greaves Street North,null,VIC,338,144.65057,WERRIBEE,Catholic,03 9741 3686,-37.90127,2
Primary,413,3437,St Brigid's School,PO Box 500,O,null,GISBORNE,VIC,3437,Macedon Ranges (S),68 Aitken Street,null,VIC,353,144.59009,GISBORNE,Catholic,03 5428 2220,-37.49091,2
Primary,327,3429,Our Lady of Mount Carmel School,PO Box 631,O,null,SUNBURY,VIC,3429,Hume (C),53 Macedon Street,null,VIC,355,144.7363,SUNBURY,Catholic,03 9740 7344,-37.58004,2
Pri/Sec,111,3103,Fintona Girls' School,79 Balwyn Road,O,null,BALWYN,VIC,3103,Boroondara (C),79 Balwyn Road,null,VIC,385,145.08034,BALWYN,Independent,03 9830 1388,-37.81516,2
Primary,145,3810,St Patrick's School,PO Box 607,O,null,PAKENHAM,VIC,3810,Cardinia (S),136 Princes Highway,null,VIC,386,145.47453,PAKENHAM,Catholic,03 5940 2888,-38.06938,2
Pri/Sec,635,3143,Lauriston Girls' School,PO Box 8110,O,null,ARMADALE,VIC,3143,Stonnington (C),38 Huntingtower Road,null,VIC,391,145.02509,ARMADALE,Independent,03 9864 7555,-37.85232,2
Pri/Sec,111,3101,Xavier College,135 Barkers Road,O,null,KEW,VIC,3101,Boroondara (C),135 Barkers Road,null,VIC,404,145.0311,KEW,Catholic,03 9854 5411,-37.81386,2
Pri/Sec,111,3101,Trinity Grammar School Kew,40 Charles Street,O,null,KEW,VIC,3101,Boroondara (C),40 Charles Street,null,VIC,457,145.0355,KEW,Independent,03 9854 3600,-37.8102,2
Secondary,735,3065,Academy of Mary Immaculate,88 Nicholson Street,O,null,FITZROY,VIC,3065,Yarra (C),88 Nicholson Street,null,VIC,467,144.97441,FITZROY,Catholic,03 9412 7100,-37.80371,2
Primary,735,3065,Sacred Heart School,107 King William Street,O,null,FITZROY,VIC,3065,Yarra (C),107 King William Street,null,VIC,468,144.97852,FITZROY,Catholic,03 9419 3528,-37.80205,2
Secondary,745,3140,Mount Lilydale Mercy College,120 Anderson Street,O,null,LILYDALE,VIC,3140,Yarra Ranges (S),120 Anderson Street,null,VIC,474,145.35776,LILYDALE,Catholic,03 9735 4022,-37.75076,2
Primary,433,3011,St Monica's School,2 Wingfield Street,O,null,FOOTSCRAY,VIC,3011,Maribyrnong (C),2 Wingfield Street,null,VIC,477,144.90685,FOOTSCRAY,Catholic,03 9689 4548,-37.80116,2
Primary,433,3013,St Augustine's School,65 Somerville Road,O,null,YARRAVILLE,VIC,3013,Maribyrnong (C),65 Somerville Road,null,VIC,478,144.8899,YARRAVILLE,Catholic,03 9314 5996,-37.8137,2
Secondary,343,3194,Kilbreda College,PO Box 248,O,null,MENTONE,VIC,3194,Kingston (C),118 Mentone Parade,null,VIC,500,145.0657,MENTONE,Catholic,03 9581 7766,-37.98415,2
Secondary,534,3931,Padua College,Private Mail Bag No 4,O,null,MORNINGTON,VIC,3931,Mornington Peninsula (S),62 Oakbank Road,null,VIC,501,145.072,MORNINGTON,Catholic,03 5976 0100,-38.21826,2
Pri/Sec,460,3141,Melbourne Girls Grammar,86 Anderson Street,O,null,SOUTH YARRA,VIC,3141,Melbourne (C),86 Anderson Street,null,VIC,509,144.9848,SOUTH YARRA,Independent,03 9862 9200,-37.83169,2
Primary,735,3068,St John's School,77 Queens Parade,O,null,CLIFTON HILL,VIC,3068,Yarra (C),77 Queens Parade,null,VIC,524,144.98822,CLIFTON HILL,Catholic,03 9489 1346,-37.79034,2
Secondary,275,3222,Saint Ignatius College Geelong,27 Peninsula Drive,O,null,DRYSDALE,VIC,3222,Greater Geelong (C),27 Peninsula Drive,null,VIC,548,144.5579,DRYSDALE,Catholic,03 5251 1136,-38.1887,2
Pri/Sec,698,3125,Presbyterian Ladies' College,141 Burwood Highway,O,null,BURWOOD,VIC,3125,Whitehorse (C),141 Burwood Highway,null,VIC,554,145.107,BURWOOD,Independent,03 9808 5811,-37.84856,2
Primary,506,3039,St Monica's Primary School,20 Robinson Street,O,null,MOONEE PONDS,VIC,3039,Moonee Valley (C),20 Robinson Street,null,VIC,566,144.92319,MOONEE PONDS,Catholic,03 9375 1132,-37.75966,2
Primary,745,3140,St Patrick's School,PO Box 547,O,null,LILYDALE,VIC,3140,Yarra Ranges (S),40 Jones Street,null,VIC,567,145.35262,LILYDALE,Catholic,03 9735 4388,-37.75273,2
