school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type,y,x
Primary,707,3075,St Catherine's School,2 Lascelles Drive,O,null,LALOR WEST,VIC,3075,Whittlesea (C),2 Lascelles Drive,2066,null,1858,VIC,LALOR WEST,Catholic,03 9466 2480,2,-37.66560256,145.0032382
Primary,707,3757,St Mary's School,2-20 Fir Street,O,null,WHITTLESEA,VIC,3757,Whittlesea (C),2-20 Fir Street,2068,null,1860,VIC,WHITTLESEA,Catholic,03 9716 2478,2,-37.50906237,145.1145373
Primary,421,3106,St Charles Borromeo School,PO Box 922,O,null,TEMPLESTOWE,VIC,3106,Manningham (C),230-234 Serpells Road,2069,null,1861,VIC,TEMPLESTOWE,Catholic,03 9842 7634,2,-37.767398,145.153432
Pri/Sec,745,3160,Belgrave Heights Christian School,20 Wattle Valley Road,O,null,BELGRAVE HEIGHTS,VIC,3160,Yarra Ranges (S),20 Wattle Valley Road,2071,null,1864,VIC,BELGRAVE HEIGHTS,Independent,03 9754 6435,2,-37.91890282,145.3462292
Pri/Sec,497,3166,Oakleigh Grammar,PO Box 2120,O,null,OAKLEIGH,VIC,3166,Monash (C),77 Willesden Road,2072,null,1866,VIC,OAKLEIGH,Independent,03 9569 6128,2,-37.895907,145.082819
Special,745,3777,Worawa Aboriginal College,PO Box 1250,O,null,HEALESVILLE,VIC,3777,Yarra Ranges (S),60 - 80 Barak Lane,2073,null,1868,VIC,HEALESVILLE,Independent,03 5962 4344,2,-37.68452365,145.5092164
Pri/Sec,367,3152,St Andrews Christian College,PO Box 4646,O,null,KNOX CITY CENTRE,VIC,3152,Knox (C),130 Tyner Road,2075,null,1871,VIC,WANTIRNA SOUTH,Independent,(03) 8847 8300,2,-37.873866,145.244636
Pri/Sec,525,3058,Australian International Academy of Education,653 Sydney Road,O,null,COBURG,VIC,3058,Moreland (C),653 Sydney Road,2077,null,1874,VIC,COBURG,Independent,03 9350 4533,2,-37.72654764,144.9586634
Pri/Sec,534,3913,Flinders Christian Community College,PO Box 45,O,null,TYABB,VIC,3913,Mornington Peninsula (S),155 Mornington - Tyabb Road,2078,null,1876,VIC,TYABB,Independent,03 9785 0000,2,-38.262117,145.167984
Primary,118,3038,St Mary MacKillop Primary School,152 Odessa Avenue,O,null,KEILOR DOWNS,VIC,3038,Brimbank (C),152 Odessa Avenue,2079,null,1877,VIC,KEILOR DOWNS,Catholic,03 9367 6199,2,-37.714625,144.804346
Primary,465,3337,St Catherine of Siena School,PO Box 208,O,null,MELTON WEST,VIC,3337,Melton (C),Bulman's Road,2080,null,1878,VIC,MELTON WEST,Catholic,03 9743 2166,2,-37.67878271,144.5501953
Primary,745,3793,St Paul's School,59 Moores Road,O,null,MONBULK,VIC,3793,Yarra Ranges (S),59 Moores Road,2081,null,1879,VIC,MONBULK,Catholic,03 9756 7201,2,-37.867995,145.412057
Primary,534,3939,Our Lady of Fatima School,16 Hinton Street,O,null,ROSEBUD,VIC,3939,Mornington Peninsula (S),16 Hinton Street,2082,null,1881,VIC,ROSEBUD,Catholic,03 5950 0400,2,-38.371333,144.897536
Primary,497,3150,St Justin's School,42 Whalley Drive,O,null,WHEELERS HILL,VIC,3150,Monash (C),42 Whalley Drive,2083,null,1882,VIC,WHEELERS HILL,Catholic,03 9561 7644,2,-37.917811,145.190508
Primary,745,3137,St Richard's Primary School,Private Bag 6 Post Office,O,null,KILSYTH,VIC,3137,Yarra Ranges (S),672 Mount Dandenong Road,2085,null,1891,VIC,KILSYTH,Catholic,03 9728 4378,2,-37.80656384,145.3217417
Primary,367,3152,Holy Trinity School,10 Riddell Road,O,null,WANTIRNA SOUTH,VIC,3152,Knox (C),10 Riddell Road,2086,null,1893,VIC,WANTIRNA SOUTH,Catholic,03 9801 8296,2,-37.877468,145.242912
Pri/Sec,465,3338,Melton Christian College,PO Box 88,O,null,MELTON,VIC,3337,Melton (C),152-156 Brooklyn Road,2087,null,1894,VIC,MELTON SOUTH,Independent,03 9743 8193,2,-37.700276,144.560281
Primary,161,3802,St Paul Apostle North School,76 Mossgiel Park Drive,O,null,ENDEAVOUR HILLS,VIC,3802,Casey (C),76 Mossgiel Park Drive,2089,null,1897,VIC,ENDEAVOUR HILLS,Catholic,03 9700 6068,2,-37.967529,145.262664
Primary,726,3030,Corpus Christi School,29 Russell Street,O,null,WERRIBEE,VIC,3030,Wyndham (C),29 Russell Street,2090,null,1898,VIC,WERRIBEE,Catholic,03 9741 8440,2,-37.90994759,144.6634428
Secondary,267,3174,Nazareth College,Manning Drive,O,null,NOBLE PARK NORTH,VIC,3174,Greater Dandenong (C),Manning Drive,2091,null,1899,VIC,NOBLE PARK NORTH,Catholic,03 9795 8100,2,-37.940226,145.195459
Pri/Sec,231,3162,Japanese School of Melbourne,6 Ellington Street,O,null,CAULFIELD SOUTH,VIC,3162,Glen Eira (C),6 Ellington Street,2093,null,1902,VIC,CAULFIELD SOUTH,Independent,03 9528 1978,2,-37.892445,145.019402
Pri/Sec,735,3067,Sophia Mundi Steiner School,P.O. Box 184,O,null,ABBOTSFORD,VIC,3067,Yarra (C),1 St Heliers Street,2096,null,1905,VIC,ABBOTSFORD,Independent,03 9419 9229,2,-37.803664,145.005225
Pri/Sec,726,3029,Al-Taqwa College,PO Box 1103,O,Werribee Plaza,HOPPERS CROSSING,VIC,3029,Wyndham (C),201 Sayers Road,2097,null,1906,VIC,TRUGANINA,Independent,03 9269 5000,2,-37.85265,144.722023
Pri/Sec,118,3036,Overnewton Anglican Community College,2-50 Overnewton Road,O,null,KEILOR,VIC,3036,Brimbank (C),2-50 Overnewton Road,2098,null,1908,VIC,KEILOR,Independent,03 9334 0149,2,-37.706557,144.82318
Primary,217,3201,St Joachim's School,25 Broderick Road,O,null,CARRUM DOWNS,VIC,3201,Frankston (C),25 Broderick Road,2099,null,1909,VIC,CARRUM DOWNS,Catholic,03 9785 2633,2,-38.103348,145.178469
Primary,66,3095,Holy Trinity Primary School,94 Weidlich Road,O,null,ELTHAM NORTH,VIC,3095,Banyule (C),94 Weidlich Road,2100,null,1910,VIC,ELTHAM NORTH,Catholic,03 9431 0888,2,-37.698439,145.135461
Primary,327,3059,St Carlo Borromeo School,5-9 Drummond Street,O,null,GREENVALE,VIC,3059,Hume (C),5-9 Drummond Street,2101,null,1911,VIC,GREENVALE,Catholic,03 9333 2572,2,-37.653642,144.888635
Pri/Sec,745,3797,Little Yarra Steiner School,PO Box 19,O,null,YARRA JUNCTION,VIC,3797,Yarra Ranges (S),205 Little Yarra Road,2102,null,1914,VIC,YARRA JUNCTION,Independent,03 5967 1953,2,-37.79444291,145.631163
Primary,161,3976,St Kevin's School,120 Hallam Road,O,null,HAMPTON PARK,VIC,3976,Casey (C),120 Hallam Road,2104,null,1918,VIC,HAMPTON PARK,Catholic,03 9709 8600,2,-38.039316,145.2674
Secondary,161,3977,St Peter's College,PO Box 615,O,null,CRANBOURNE,VIC,3977,Casey (C),Cranbourne-Frankston Road,2106,null,1920,VIC,CRANBOURNE,Catholic,03 5990 7777,2,-38.108411,145.256866
